1.1.1.2,80,https,open,tcpscan,"NULL","NULL","b'HTTP/1.1 302 Moved Temporarily\r\nDate: Sun, 08 Nov 2020 05:47:03 GMT\r\nTransfer-Encoding: chunked\r\nConnection: keep-alive\r\nCache-Control: private, max-age=0, no-store, no-cache, must-revalidate, post-check=0, pre-check=0\r\nExpires: Thu, 01 Jan 1970 00:00:01 GMT\r\nLocation: https://one.one.one.one/family/\r\ncf-request-id: 0647fddd5b00009989ed9c3000000001\r\nServer: cloudflare\r\nCF-RAY: 5eecff422a849989-LAX\r\n\r\n0\r\n\r\n'"
1.1.1.2,443,https,open,tcpscan,"NULL","NULL","b'HTTP/1.1 400 Bad Request\r\nServer: cloudflare\r\nDate: Sun, 08 Nov 2020 05:47:03 GMT\r\nContent-Type: text/html\r\nContent-Length: 253\r\nConnection: close\r\nCF-RAY: -\r\n\r\n<html>\r\n<head><title>400 The plain HTTP request was sent to HTTPS port</title></head>\r\n<body>\r\n<center><h1>400 Bad Request</h1></center>\r\n<center>The plain HTTP request was sent to HTTPS port</center>\r\n<hr><center>cloudflare</center>\r\n</body>\r\n</html>\r\n'"
1.1.1.2,80,http,open,nmap,"Cloudflare http proxy","","NULL"
1.1.1.2,443,http,open,nmap,"Cloudflare http proxy","","NULL"
1.1.1.4,80,http,open,tcpscan,"NULL","NULL","b'HTTP/1.1 403 Forbidden\r\nDate: Sun, 08 Nov 2020 05:47:03 GMT\r\nContent-Type: text/plain; charset=UTF-8\r\nContent-Length: 16\r\nConnection: close\r\nX-Frame-Options: SAMEORIGIN\r\nCache-Control: private, max-age=0, no-store, no-cache, must-revalidate, post-check=0, pre-check=0\r\nExpires: Thu, 01 Jan 1970 00:00:01 GMT\r\nSet-Cookie: __cfduid=d217efaa80e6c5ed8f9708b4d7cd053c41604814423; expires=Tue, 08-Dec-20 05:47:03 GMT; path=/; domain=.1.1.1.4; HttpOnly; SameSite=Lax\r\ncf-request-id: 0647fddeae000004dbdf970000000001\r\nSe'"
1.1.1.4,443,https,open,tcpscan,"NULL","NULL","b'HTTP/1.1 400 Bad Request\r\nServer: cloudflare\r\nDate: Sun, 08 Nov 2020 05:47:04 GMT\r\nContent-Type: text/html\r\nContent-Length: 253\r\nConnection: close\r\nCF-RAY: -\r\n\r\n<html>\r\n<head><title>400 The plain HTTP request was sent to HTTPS port</title></head>\r\n<body>\r\n<center><h1>400 Bad Request</h1></center>\r\n<center>The plain HTTP request was sent to HTTPS port</center>\r\n<hr><center>cloudflare</center>\r\n</body>\r\n</html>\r\n'"
1.1.1.4,80,http,open,nmap,"Cloudflare http proxy","","NULL"
1.1.1.4,443,https,open,nmap,"cloudflare","","NULL"
1.1.1.1,80,https,open,tcpscan,"NULL","NULL","b'HTTP/1.1 301 Moved Permanently\r\nDate: Sun, 08 Nov 2020 08:36:06 GMT\r\nContent-Type: text/html\r\nTransfer-Encoding: chunked\r\nConnection: keep-alive\r\nLocation: https://1.1.1.1/\r\nServed-In-Seconds: 0.000\r\nCF-Cache-Status: HIT\r\nAge: 1592\r\nExpires: Sun, 08 Nov 2020 12:36:06 GMT\r\nCache-Control: public, max-age=14400\r\ncf-request-id: 064898a4cf000036155a210000000001\r\nServer: cloudflare\r\nCF-RAY: 5eedf6e7a8f53615-LAX\r\n\r\nba\r\n<html>\r\n<head><title>301 Moved Permanently</title></head>\r\n<body bgcolor=white>\r\n<center><h1>3'"
1.1.1.1,443,https,open,tcpscan,"NULL","NULL","b'HTTP/1.1 400 Bad Request\r\nServer: cloudflare\r\nDate: Sun, 08 Nov 2020 08:36:07 GMT\r\nContent-Type: text/html\r\nContent-Length: 253\r\nConnection: close\r\nCF-RAY: -\r\n\r\n<html>\r\n<head><title>400 The plain HTTP request was sent to HTTPS port</title></head>\r\n<body>\r\n<center><h1>400 Bad Request</h1></center>\r\n<center>The plain HTTP request was sent to HTTPS port</center>\r\n<hr><center>cloudflare</center>\r\n</body>\r\n</html>\r\n'"
1.1.1.1,80,http,open,nmap,"Cloudflare http proxy","","NULL"
